NSC,mean_log_IC50,CELL_NAME
12198,-4.90775,SK-MEL-5
12198,-4,SK-OV-3
12198,-4,SN12C
12198,-4,SNB-19
12198,-4,SNB-75
12198,-5.1839,SR
12198,-4.2655,SW-620
12198,-4.01485,T-47D
12198,-4,TK-10
12198,-4.2423,U251
12198,-4.1466,UACC-257
12198,-4.38105,UACC-62
12198,-4.2219,UO-31
19987,-4,786-0
19987,-4,A498
19987,-4,A549/ATCC
19987,-4,ACHN
19987,-4,CAKI-1
19987,-4,COLO 205
19987,-4,HCC-2998
19987,-4,HCT-116
19987,-4,HCT-15
19987,-4,HL-60(TB)
19987,-4,HOP-62
19987,-4,HOP-92
19987,-4,HT29
19987,-4,IGROV1
19987,-4,K-562
19987,-4,KM12
19987,-4,LOX IMVI
19987,-4,M14
19987,-4,MALME-3M
19987,-4,MOLT-4
19987,-4,NCI-H226
19987,-4,NCI-H23
19987,-4,NCI-H460
19987,-4,NCI-H522
19987,-4,OVCAR-3
19987,-4,OVCAR-4
19987,-4,OVCAR-5
19987,-4,OVCAR-8
19987,-4,RPMI-8226
19987,-4,SF-268
19987,-4,SF-295
19987,-4,SF-539
19987,-4,SK-MEL-2
19987,-4,SK-MEL-28
19987,-4,SK-MEL-5
19987,-4,SK-OV-3
19987,-4,SN12C
19987,-4,SNB-19
19987,-4,SNB-75
19987,-4,SR
19987,-4,SW-620
19987,-4,TK-10
19987,-4,U251
19987,-4,UACC-257
19987,-4,UACC-62
19987,-4,UO-31
26980,-5.9816752688172,786-0
26980,-5.425175,A498
26980,-6.30286328125,A549/ATCC
26980,-6.20331684210526,ACHN
26980,-5.0572,BT-549
26980,-5.57741941747573,CAKI-1
26980,-6.09986525423729,CCRF-CEM
26980,-5.64702479338843,COLO 205
26980,-6.00098529411765,DU-145
26980,-4.80585652173913,EKVX
26980,-5.72871512605042,HCC-2998
26980,-5.92462083333333,HCT-116
26980,-5.59056810344828,HCT-15
26980,-6.15913636363636,HL-60(TB)
26980,-5.77628623853211,HOP-62
26980,-4.72938782608696,HOP-92
26980,-4.78094,HS 578T
26980,-5.8676144,HT29
26980,-5.19852314049587,IGROV1
26980,-5.45710819672131,K-562
26980,-5.36293801652893,KM12
26980,-6.24116434782609,LOX IMVI
26980,-5.88534347826087,M14
26980,-5.38430619469027,MALME-3M
26980,-6.21248474576271,MCF7
26980,-4.81486470588235,MDA-MB-231/ATCC
26980,-5.456034375,MDA-MB-435
26980,-5.48358620689655,MDA-N
26980,-6.05713083333333,MOLT-4
26980,-5.22278691588785,NCI-H226
26980,-6.22427073170732,NCI-H23
26980,-5.37450900900901,NCI-H322M
26980,-7.40280991735537,NCI-H460
26980,-5.510425,NCI-H522
26980,-4.8113064516129,NCI/ADR-RES
26980,-5.13614,OVCAR-3
26980,-5.0352452991453,OVCAR-4
26980,-4.9550868852459,OVCAR-5
26980,-5.4913176,OVCAR-8
26980,-5.16443428571429,PC-3
26980,-5.0516462264151,RPMI-8226
26980,-5.13655943396226,RXF 393
26980,-5.44969663865546,SF-268
26980,-6.02420333333333,SF-295
26980,-5.89091129032258,SF-539
26980,-5.30160267857143,SK-MEL-2
26980,-5.27310163934426,SK-MEL-28
26980,-6.16344033613445,SK-MEL-5
26980,-4.98539262295082,SK-OV-3
26980,-5.70951885245902,SN12C
26980,-5.54731544715447,SNB-19
26980,-5.16364117647059,SNB-75
26980,-6.33462794117647,SR
26980,-5.89887983870968,SW-620
26980,-4.76085151515152,T-47D
26980,-4.72150833333333,TK-10
26980,-5.92643709677419,U251
26980,-5.35477739130435,UACC-257
26980,-6.20199075630252,UACC-62
26980,-5.20377355371901,UO-31
34462,-4.58281578947368,786-0
34462,-3.69635833333333,A498
34462,-4.166284,A549/ATCC
34462,-5.06597222222222,ACHN
34462,-3.8244,BT-549
34462,-4.48866222222222,CAKI-1
34462,-5.28925,CCRF-CEM
34462,-3.95803617021277,COLO 205
34462,-4.13845,DU-145
34462,-3.67437272727273,EKVX
34462,-3.85243636363636,HCC-2998
34462,-4.13224680851064,HCT-116
34462,-4.06530222222222,HCT-15
34462,-5.46858947368421,HL-60(TB)
34462,-3.88865128205128,HOP-62
34462,-3.72604,HOP-92
34462,-3.39,HS 578T
34462,-3.97449347826087,HT29
34462,-3.77507608695652,IGROV1
34462,-4.15597111111111,K-562
34462,-3.83558222222222,KM12
34462,-4.54701086956522,LOX IMVI
34462,-4.3379,M14
34462,-3.9479,MALME-3M
34462,-4.36270714285714,MCF7
34462,-3.7705,MDA-MB-231/ATCC
34462,-3.950475,MDA-MB-435
34462,-3.97535,MDA-N
34462,-5.40484583333333,MOLT-4
34462,-3.62961707317073,NCI-H226
34462,-4.2685170212766,NCI-H23
34462,-3.59996428571429,NCI-H322M
34462,-5.1532829787234,NCI-H460
34462,-4.2476875,NCI-H522
34462,-4.0844375,NCI/ADR-RES
34462,-3.74633777777778,OVCAR-3
34462,-3.75601777777778,OVCAR-4
34462,-3.66768125,OVCAR-5
34462,-4.04220625,OVCAR-8
34462,-3.9001,PC-3
34462,-3.83980975609756,RPMI-8226
34462,-4.0245880952381,RXF 393
34462,-4.2076488372093,SF-268
34462,-4.31108260869565,SF-295
34462,-4.40741956521739,SF-539
34462,-3.71278863636364,SK-MEL-2
34462,-3.81798666666667,SK-MEL-28
34462,-4.03304042553192,SK-MEL-5
34462,-3.69361276595745,SK-OV-3
34462,-4.33455744680851,SN12C
34462,-3.66508936170213,SNB-19
34462,-3.68224680851064,SNB-75
34462,-5.4855,SR
34462,-4.1092085106383,SW-620
34462,-3.712,T-47D
34462,-3.55086315789474,TK-10
34462,-4.34903541666667,U251
34462,-3.87839024390244,UACC-257
34462,-4.59335319148936,UACC-62
34462,-3.70612083333333,UO-31
36405,-5.4827,786-0
36405,-4.649,A498
36405,-5.4445,A549/ATCC
36405,-5.528,ACHN
36405,-5.45665,CAKI-1
36405,-6.41005,CCRF-CEM
36405,-5.4787,COLO 205
36405,-5.4218,EKVX
36405,-5.469,HCC-2998
36405,-5.4899,HCT-116
36405,-5.16205,HCT-15
36405,-6.30475,HL-60(TB)
36405,-5.47635,HOP-62
36405,-5.4349,HOP-92
36405,-5.5044,HT29
36405,-5.4824,IGROV1
36405,-5.4416,K-562
36405,-5.4322,KM12
36405,-5.50805,LOX IMVI
36405,-5.47655,M14
36405,-5.5025,MALME-3M
36405,-6.19795,MOLT-4
36405,-5.46035,NCI-H226
36405,-5.5228,NCI-H23
36405,-5.26485,NCI-H322M
36405,-5.48045,NCI-H460
36405,-5.4431,NCI-H522
36405,-5.54785,OVCAR-3
36405,-5.4397,OVCAR-4
36405,-5.2227,OVCAR-5
36405,-5.51105,OVCAR-8
36405,-5.4136,RPMI-8226
36405,-5.69045,SF-268
36405,-5.5113,SF-295
36405,-5.4797,SF-539
36405,-5.449,SK-MEL-2
36405,-5.5054,SK-MEL-28
36405,-5.48835,SK-MEL-5
36405,-5.49645,SK-OV-3
36405,-5.4911,SN12C
36405,-5.5134,SNB-19
36405,-5.4811,SNB-75
36405,-5.5906,SR
36405,-5.9025,SW-620
36405,-5.4167,TK-10
36405,-5.49445,U251
36405,-5.45125,UACC-257
36405,-5.48545,UACC-62
36405,-5.35945,UO-31
67574,-6.67208928571429,786-0
67574,-5.34744736842105,A498
67574,-6.84161147540984,A549/ATCC
67574,-5.15332142857143,ACHN
67574,-4.58749,BT-549
67574,-5.42654074074074,CAKI-1
67574,-7.11141272727273,CCRF-CEM
67574,-7.07048596491228,COLO 205
67574,-7.46120769230769,DU-145
67574,-4.02244821428571,EKVX
67574,-7.06877818181818,HCC-2998
67574,-7.1488,HCT-116
67574,-6.79915084745763,HCT-15
67574,-7.16783725490196,HL-60(TB)
67574,-4.56214042553192,HOP-62
67574,-4.16434736842105,HOP-92
67574,-4.40806923076923,HS 578T
67574,-7.18945454545455,HT29
67574,-6.64595438596491,IGROV1
67574,-7.18483275862069,K-562
67574,-7.15373018867925,KM12
67574,-7.24263859649123,LOX IMVI
67574,-7.15918275862069,M14
67574,-4.43657307692308,MALME-3M
67574,-7.18541,MCF7
67574,-6.81664375,MDA-MB-231/ATCC
67574,-7.264875,MDA-MB-435
67574,-7.31090909090909,MDA-N
67574,-6.92626037735849,MOLT-4
67574,-5.61672040816327,NCI-H226
67574,-6.81021224489796,NCI-H23
67574,-4.48592352941177,NCI-H322M
67574,-7.30711272727273,NCI-H460
67574,-6.98369444444445,NCI-H522
67574,-5.63168888888889,NCI/ADR-RES
67574,-7.03957818181818,OVCAR-3
67574,-4.12149230769231,OVCAR-4
67574,-3.89647966101695,OVCAR-5
67574,-6.96719016393443,OVCAR-8
67574,-7.3933375,PC-3
67574,-6.415622,RPMI-8226
67574,-4.36555384615385,RXF 393
67574,-6.18370727272727,SF-268
67574,-7.09820357142857,SF-295
67574,-7.18607142857143,SF-539
67574,-5.73112692307692,SK-MEL-2
67574,-4.49866923076923,SK-MEL-28
67574,-7.23543859649123,SK-MEL-5
67574,-4.34274814814815,SK-OV-3
67574,-5.80066111111111,SN12C
67574,-5.19505208333333,SNB-19
67574,-4.14443888888889,SNB-75
67574,-7.45161666666667,SR
67574,-7.23113050847458,SW-620
67574,-4.19098461538462,T-47D
67574,-4.2097625,TK-10
67574,-7.09279833333333,U251
67574,-4.68955510204082,UACC-257
67574,-6.05743958333333,UACC-62
67574,-4.00038103448276,UO-31
71423,-4,786-0
71423,-4,A498
71423,-4,A549/ATCC
71423,-4,ACHN
71423,-4,BT-549
71423,-4,CAKI-1
71423,-4,CCRF-CEM
71423,-4,COLO 205
71423,-4,DU-145
71423,-4,EKVX
71423,-4,HCC-2998
71423,-4,HCT-116
71423,-4,HCT-15
71423,-4.6618,HL-60(TB)
71423,-4,HOP-62
71423,-4,HOP-92
71423,-4,HS 578T
71423,-4,HT29
71423,-4,IGROV1
71423,-4.1898,K-562
71423,-4,KM12
71423,-4,LOX IMVI
71423,-4,M14
71423,-4,MALME-3M
71423,-4,MCF7
71423,-4,MDA-MB-231/ATCC
71423,-4,MDA-MB-435
71423,-4,MOLT-4
71423,-4,NCI-H226
71423,-4,NCI-H23
71423,-4,NCI-H322M
71423,-4,NCI-H460
71423,-4,NCI-H522
71423,-4,NCI/ADR-RES
71423,-4,OVCAR-3
71423,-4,OVCAR-4
71423,-4,OVCAR-5
71423,-4,OVCAR-8
71423,-4,PC-3
71423,-4,RPMI-8226
71423,-4,RXF 393
71423,-4,SF-268
71423,-4,SF-295
71423,-4.0066,SF-539
71423,-4,SK-MEL-2
71423,-4,SK-MEL-28
71423,-4,SK-MEL-5
71423,-4,SK-OV-3
71423,-4,SN12C
71423,-4,SNB-19
71423,-4,SNB-75
71423,-4,SR
71423,-4,SW-620
71423,-4,T-47D
71423,-4,TK-10
71423,-4.2407,U251
71423,-4,UACC-257
71423,-4,UACC-62
71423,-4,UO-31
77213,-3.35982352941176,786-0
77213,-3.301,A498
77213,-3.45379555555556,A549/ATCC
77213,-3.301,ACHN
77213,-3.301,BT-549
77213,-3.32539024390244,CAKI-1
77213,-3.30944102564103,CCRF-CEM
77213,-3.301,COLO 205
77213,-3.301,DU-145
77213,-3.301,EKVX
77213,-3.301,HCC-2998
77213,-3.301,HCT-116
77213,-3.37567804878049,HCT-15
77213,-3.31158648648649,HL-60(TB)
77213,-3.40043783783784,HOP-62
77213,-3.301,HOP-92
77213,-3.301,HS 578T
77213,-3.32425581395349,HT29
77213,-3.301,IGROV1
77213,-3.36742380952381,K-562
77213,-3.301,KM12
77213,-3.301,LOX IMVI
77213,-3.301,M14
77213,-3.30233157894737,MALME-3M
77213,-3.301,MCF7
77213,-3.301,MDA-MB-231/ATCC
77213,-3.3694,MDA-MB-435
77213,-3.301,MDA-N
77213,-3.36766666666667,MOLT-4
77213,-3.301,NCI-H226
77213,-3.301,NCI-H23
77213,-3.301,NCI-H322M
77213,-3.301,NCI-H460
77213,-3.301,NCI-H522
77213,-3.301,NCI/ADR-RES
77213,-3.326,OVCAR-3
77213,-3.301,OVCAR-4
77213,-3.35168409090909,OVCAR-5
77213,-3.301,OVCAR-8
77213,-3.301,PC-3
77213,-3.32731578947368,RPMI-8226
77213,-3.34136111111111,RXF 393
77213,-3.301,SF-268
77213,-3.301,SF-295
77213,-3.301,SF-539
77213,-3.301,SK-MEL-2
77213,-3.301,SK-MEL-28
77213,-3.3962380952381,SK-MEL-5
77213,-3.301,SK-OV-3
77213,-3.301,SN12C
77213,-3.301,SNB-19
77213,-3.301,SNB-75
77213,-3.426,SR
77213,-3.301,SW-620
77213,-3.301,T-47D
77213,-3.301,TK-10
77213,-3.46944523809524,U251
77213,-3.32877777777778,UACC-257
77213,-3.41121395348837,UACC-62
77213,-3.301,UO-31
88536,-4.122,786-0
88536,-4,A498
88536,-4.3279,A549/ATCC
88536,-4.34525,ACHN
88536,-4.11935,BT-549
88536,-4.0578,CAKI-1
88536,-4.5497,CCRF-CEM
88536,-4.5277,COLO 205
88536,-4.1062,DU-145
88536,-4.3285,EKVX
88536,-4.0622,HCC-2998
